j,x_lo,x_hi,c_prev_lo,c_prev_hi,c_lo,c_hi,nominal_cost,cost_upper,cost_gap
1,inf,inf,inf,inf,2.517092547070575,2.517102547070577,0.043387423925383,0.043390426912588,0.000003002987205
2,2.516045495977281,2.516055495977283,2.517092547070575,2.517102547070577,2.256757895340437,2.256765895340436,0.040871244613657,0.040875016826465,0.000003772212808
3,2.260226110701708,2.260232110701709,2.256757895340437,2.256765895340436,2.092161475775323,2.092169475775322,0.039606697940844,0.039610919524778,0.000004221583934
4,2.098975995868497,2.098980995868498,2.092161475775323,2.092169475775322,1.968593197380934,1.968601197380935,0.038657089514961,0.038661911937675,0.000004822422714
5,1.978213708102417,1.978217708102417,1.968593197380934,1.968601197380935,1.868213825451849,1.868221825451849,0.037867549232649,0.037872898464292,0.000005349231643
6,1.880312032688213,1.880316032688213,1.868213825451849,1.868221825451849,1.782853357513730,1.782861357513730,0.037177010530715,0.037182823583488,0.000005813052773
7,1.797205008281745,1.797208008281745,1.782853357513730,1.782861357513730,1.708056211951360,1.708064211951360,0.036554443218835,0.036560669727046,0.000006226508210
8,1.724492810693552,1.724495810693551,1.708056211951360,1.708064211951360,1.641112708996798,1.641120708996798,0.035981710547148,0.035988308958397,0.000006598411249
9,1.659504111297710,1.659506111297710,1.641112708996798,1.641120708996798,1.580246300509271,1.580254300509272,0.035447205029342,0.035454140099163,0.000006935069821
10,1.600484956459768,1.600486956459768,1.580246300509271,1.580254300509272,1.524226102123477,1.524234102123477,0.034943005759596,0.034950246901099,0.000007241141503
11,1.546222997117381,1.546224997117381,1.524226102123477,1.524234102123477,1.472162363324496,1.472170363324496,0.034463441879337,0.034470962053246,0.000007520173909
12,1.495841489629820,1.495843489629820,1.472162363324496,1.472170363324496,1.423389923860171,1.423397923860171,0.034004298859506,0.034012073806114,0.000007774946608
13,1.448685223192627,1.448687223192626,1.423389923860171,1.423397923860171,1.377397719551816,1.377405719551817,0.033562349116293,0.033570356792241,0.000008007675948
14,1.404250932691480,1.404252932691480,1.377397719551816,1.377405719551817,1.333784044409658,1.333792044409658,0.033135059130949,0.033143279318812,0.000008220187863
